name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
Electrical Solutions 247 Ltd,,,,5.0,252.0,"Flat 3, 117 Cannon St Rd, London E1 2LX, United Kingdom",,,
Innox Electrical,,,,5.0,26.0,"49 Hillside Rd, Warlingham, Whyteleafe CR3 0BY, United Kingdom",,,
THS Electrical,,,,4.9,265.0,"Unit 240, Kingspark Business Centre, 152-178 Kingston Rd, New Malden KT3 3ST, United Kingdom",,,
Stay Safe Electrical Services LTD,,,,5.0,60.0,"Gemini Court, 42 Throwley Way, Sutton SM1 4AS, United Kingdom",,,
Emtech Electrical,,,,4.7,9.0,"The Lodge, Warlingham CR6 9LU, United Kingdom",,,
Emergency Electrician Trip Electric,,,,4.9,83.0,"52 McIntosh Cl, Wallington SM6 9JP, United Kingdom",,,
Watt Now Electrical,,,,5.0,8.0,"43 Mosslea Rd, Kenley, Whyteleafe CR3 0DR, United Kingdom",,,
LRT Electrical Surrey Ltd,,,,4.6,9.0,"41 Livingstone Rd, Caterham CR3 5TJ, United Kingdom",,,
24hr Emergency Electrician Dulwich & Norwood | ABCD Electrical,,,,5.0,117.0,"30 Martell Rd, Norwood, London SE21 8EE, United Kingdom",,,
AJS Electrical Services,,,,5.0,46.0,"1 Blacklands Mdw, Nutfield, Redhill RH1 4EW, United Kingdom",,,
JC Electrical Uk Ltd,,,,5.0,7.0,"Truesdales UB10 8FJ, United Kingdom",,,
NK Electrical Engineering,,,,5.0,91.0,"32 Hopton Rd, London SW16 2EJ, United Kingdom",,,
Farley Electrical (Surrey) Ltd,,,,5.0,1.0,"475 Godstone Rd, Warlingham, Whyteleafe CR3 0BL, United Kingdom",,,
Al-Amin Electrical Contractor,,,,4.9,499.0,"20, Peninsula Court, 2 Montford Pl, London E15 2QW, United Kingdom",,,
DJM electrical (south) ltd,,,,4.9,27.0,"9 Valley View Gardens, Kenley CR8 5BR, United Kingdom",,,
Contact Electrician,,,,5.0,207.0,"11 Portland Rd, London SE25 4UF, United Kingdom",,,
James Paul Electrical,,,,5.0,87.0,"Glebe Cottage, Nutfield, Redhill RH1 4HP, United Kingdom",,,
Warner Electrical Services Ltd,,,,4.9,68.0,"283 Sydenham Rd, Croydon CR0 2EL, United Kingdom",,,
London Electrics Ltd,,,,5.0,191.0,"22 Margaret Way, London IG4 5DD, United Kingdom",,,
Chalmers Electrical Services,,,,5.0,57.0,"Hillbrow Ct, Godstone RH9 8EE, United Kingdom",,,
Electrician Network (UK) Ltd,,,,5.0,68.0,"Unit 2, 2 Thayers Farm Rd, Beckenham BR3 4LZ, United Kingdom",,,
Coutts Electrical Contractors Ltd,,,,5.0,30.0,"214 Main Rd, Biggin Hill, Westerham TN16 3BD, United Kingdom",,,
JCG Electrical Services,,,,5.0,37.0,"2 Station Rd W, Oxted RH8 9EP, United Kingdom",,,
KADRIEN ELECTRICAL LTD,,,,5.0,120.0,"11 Grimwade Cl, London SE15 3HN, United Kingdom",,,
CMD Electrical Services Ltd,,,,4.9,60.0,"27 Breakfield, Coulsdon CR5 2HS, United Kingdom",,,
Omega Electrical Engineering Service,,,,5.0,32.0,"18 Famet Cl, Purley CR8 2DX, United Kingdom",,,
AC Electrical Services 09 Ltd,,,,4.8,55.0,"11 Broadview Rd, London SW16 5AU, United Kingdom",,,
Sowe's Electrical Engineering Services,,,,5.0,134.0,"24 Hughes Walk, Croydon CR0 2TR, United Kingdom",,,
L J Electrical,,,,4.9,92.0,"33 Fulmar Dr, East Grinstead RH19 3XL, United Kingdom",,,
P S C Electrical London Ltd,,,,4.7,129.0,"5 Brading Rd, Croydon CR0 3BR, United Kingdom",,,
Certified Electricians London Ltd,,,,5.0,259.0,"4, 156 Westferry Rd, London E14 3QA, United Kingdom",,,
